q_skill,skills_target,target_exists,missing_in_skills_count,missing_in_qwen_count,content_diff_count
agent-development,agent-development,False,0,0,0
automation-recommender,automation-recommender,False,0,0,0
build-mcp-app,build-mcp-app,False,0,0,0
build-mcp-server,build-mcp-server,False,0,0,0
build-mcpb,build-mcpb,False,0,0,0
claude-md-improver,claude-md-improver,False,0,0,0
command-development,command-development,False,0,0,0
cursor-integration,cursor-integration,False,0,0,0
devtu-fix-tool,devtu-fix-tool,True,0,4,0
devtu-optimize-descriptions,devtu-optimize-descriptions,True,0,2,0
devtu-optimize-skills,devtu-optimize-skills,True,0,1,0
discord-access,discord-access,False,0,0,0
discord-configure,discord-configure,False,0,0,0
ecosystem-navigation,ecosystem-navigation,False,0,0,0
frontend-design,frontend-design,False,0,0,0
git-ai-assistant,git-ai-assistant,False,0,0,0
git-ai-cursor-integration,git-ai-cursor-integration,False,0,0,0
hook-development,hook-development,False,0,0,0
ice-tracker-integration,ice-tracker-integration,False,0,0,0
imessage-access,imessage-access,False,0,0,0
imessage-configure,imessage-configure,False,0,0,0
managing-ecosystem-cleanup,managing-ecosystem-cleanup,False,0,0,0
math-olympiad,math-olympiad,False,0,0,0
mcp-integration,mcp-integration,True,0,0,1
narrative-blueprints,narrative-blueprints,False,0,0,0
playground,playground,False,0,0,0
plugin-settings,plugin-settings,True,0,0,1
plugin-structure,plugin-structure,False,0,0,0
self-assistance,self-assistance,False,0,0,0
self-improvement,self-improvement,False,0,0,0
session-report,session-report,False,0,0,0
setup-tooluniverse,setup-tooluniverse,True,0,15,0
skill-creator,skill-creator,False,0,0,0
skill-development,skill-development,False,0,0,0
sora,sora,False,0,0,0
superpowers-brainstorming,brainstorming,True,0,3,0
superpowers-requesting-code-review,requesting-code-review,True,0,1,0
superpowers-subagent-driven-development,subagent-driven-development,True,0,3,0
superpowers-systematic-debugging,systematic-debugging,True,0,10,0
superpowers-test-driven-development,test-driven-development,True,0,1,0
superpowers-using-superpowers,using-superpowers,True,0,3,1
superpowers-writing-skills,writing-skills,True,0,9,0
systematic-debugging,systematic-debugging,True,0,10,1
telegram-access,telegram-access,False,0,0,0
telegram-configure,telegram-configure,False,0,0,0
tooluniverse,tooluniverse,True,0,2,0
tooluniverse-clinical-trial-design,tooluniverse-clinical-trial-design,True,0,8,0
tooluniverse-sequence-retrieval,tooluniverse-sequence-retrieval,True,0,2,0
workspace-ecosystem-audit,workspace-ecosystem-audit,True,0,0,1
writing-rules,writing-rules,False,0,0,0
